framework,method,total_time_s,retrieval_time_s,gen_time_s,avg_ctx_relevance,answer_length,num_retrieved,n_queries
haystack,cosine,1.2271,0.0260,1.2010,0.6236,228.0667,5.0000,15
haystack,euclidean,0.9375,0.0001,0.9374,0.6236,228.0667,5.0000,15
haystack,dot_product,0.9627,0.0307,0.9320,0.6236,228.0667,5.0000,15
haystack,manhattan,0.8823,0.0006,0.8816,0.6235,219.8000,5.0000,15
haystack,hybrid,1.3552,0.0299,1.3252,0.6194,236.4000,5.0000,15
haystack,bm25,1.5877,0.0006,1.5871,0.6037,240.4667,5.0000,15
langchain,cosine,1.7541,0.0269,1.7272,0.6236,228.0667,5.0000,15
langchain,euclidean,0.7852,0.0288,0.7564,0.6236,228.0667,5.0000,15
langchain,dot_product,0.8261,0.0385,0.7876,0.6236,228.0667,5.0000,15
langchain,manhattan,1.0875,0.0005,1.0869,0.6235,219.8000,5.0000,15
langchain,hybrid,1.5579,0.0273,1.5305,0.6171,241.6667,5.0000,15
langchain,bm25,1.6428,0.0003,1.6425,0.6038,231.5333,5.0000,15
llamaindex,manhattan,1.6271,0.0287,1.5983,0.6235,219.8000,5.0000,15
llamaindex,cosine,1.9348,0.0000,1.9348,0.6233,208.6000,5.0000,15
llamaindex,euclidean,0.7038,0.0000,0.7038,0.6233,207.0667,5.0000,15
llamaindex,dot_product,0.6968,0.0000,0.6968,0.6233,207.0667,5.0000,15
llamaindex,hybrid,1.4656,0.0270,1.4386,0.6186,228.9333,5.0000,15
llamaindex,bm25,1.6113,0.0008,1.6105,0.6045,231.7333,5.0000,15
